Years,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
General merchandise ($),692924000000,778718000000,726283000000,694069000000,725018000000,817516000000,906104000000,1030589000000,1150198000000,1288516000000,1055433000000,1271972000000,1463637000000,1524790000000,1559363000000,1612611000000,1489795000000,1436552000000,1535249000000,1654629000000,1632230000000,1403785000000,1729328000000
Foods feeds and beverages ($),45977000000,47871000000,49407000000,49616000000,55026000000,56570000000,58955000000,65962000000,84264000000,108349000000,93908000000,107719000000,126247000000,133049000000,136163000000,143721000000,127721000000,130515000000,132761000000,133144000000,130993000000,139335000000,165216000000
Industrial supplies and materials ($),145724000000,171108000000,159469000000,157282000000,173272000000,206274000000,236812000000,279120000000,316284000000,386917000000,293540000000,388561000000,485258000000,483232000000,492422000000,500677000000,418141000000,387600000000,459380000000,536866000000,526410000000,450372000000,615497000000
Capital goods except automotive ($),311249000000,357000000000,321724000000,290437000000,293673000000,327540000000,358426000000,404026000000,433019000000,457655000000,391498000000,447839000000,494202000000,527459000000,534757000000,551758000000,539805000000,520001000000,533696000000,563438000000,547954000000,460493000000,519783000000
Automotive vehicles parts and engines ($),75256000000,80356000000,75435000000,78942000000,80633000000,89213000000,98406000000,107263000000,121264000000,121451000000,81715000000,112008000000,133036000000,146158000000,152661000000,159812000000,151894000000,150398000000,157867000000,158833000000,162752000000,127918000000,143603000000
Consumer goods except food and automotive ($),80867000000,89305000000,88285000000,84323000000,89877000000,103195000000,115228000000,129034000000,145863000000,161157000000,149287000000,164909000000,174719000000,180994000000,188093000000,198398000000,197318000000,193258000000,197190000000,205513000000,204976000000,173974000000,221557000000
Maintenance and repair services ($),3656000000,4423000000,5191000000,5368000000,5073000000,5181000000,6652000000,7106000000,8899000000,9362000000,11573000000,13111000000,14739000000,14944000000,15720000000,17978000000,19847000000,21587000000,23239000000,28036000000,27698000000,13278000000,12048000000
Transport ($),46302000000,49462000000,45965000000,45954000000,46701000000,54419000000,58377000000,64026000000,70837000000,78237000000,65806000000,76357000000,82930000000,88238000000,89999000000,90687000000,84434000000,81779000000,86342000000,93107000000,91017000000,56706000000,65044000000
Travel (for all purposes including education) ($),89146000000,96872000000,86408000000,79625000000,76983000000,85648000000,93423000000,96148000000,106918000000,117030000000,110757000000,130315000000,142197000000,153921000000,170979000000,180265000000,192602000000,192868000000,196469000000,200724000000,199364000000,72813000000,68759000000
Construction ($),3974000000,1993000000,2608000000,3128000000,2377000000,2253000000,1489000000,1856000000,2774000000,4072000000,4260000000,2951000000,3187000000,3234000000,2213000000,2070000000,2759000000,1690000000,2053000000,2842000000,3127000000,2349000000,2797000000
Insurance services ($),3052000000,3631000000,3424000000,4415000000,5974000000,7314000000,7566000000,9445000000,10867000000,13491000000,14594000000,14854000000,14673000000,15978000000,15653000000,16624000000,15763000000,16663000000,18976000000,19118000000,18528000000,20431000000,22672000000
Financial services ($),25998000000,29192000000,27500000000,29903000000,33499000000,42767000000,47405000000,56522000000,73980000000,79897000000,73844000000,86512000000,101077000000,105419000000,109794000000,119933000000,114951000000,114762000000,128035000000,132448000000,136046000000,144343000000,164088000000
Charges for the use of intellectual property ($),39913000000,43476000000,41005000000,44815000000,47308000000,56943000000,64466000000,70999000000,84498000000,89672000000,85730000000,94968000000,107053000000,107869000000,113824000000,116380000000,111151000000,112981000000,118147000000,114819000000,115529000000,113779000000,124827000000
Telecommunications computer and information services ($),12320000000,12250000000,12862000000,12487000000,14099000000,15009000000,15568000000,17242000000,20339000000,23892000000,24925000000,26556000000,29376000000,33522000000,36325000000,38629000000,41427000000,43122000000,47657000000,49245000000,54766000000,56682000000,58142000000
Other business services ($),36415000000,38217000000,41250000000,44625000000,46171000000,51609000000,56846000000,65990000000,79366000000,89975000000,93508000000,99595000000,108423000000,118451000000,122166000000,132240000000,141421000000,153089000000,167270000000,176540000000,185573000000,183180000000,206542000000
Personal cultural and recreational services ($),9007000000,9351000000,9631000000,10089000000,10522000000,11409000000,11114000000,14532000000,16265000000,16080000000,16926000000,17612000000,19538000000,21098000000,20888000000,22551000000,24220000000,23626000000,25664000000,22715000000,22193000000,20442000000,22965000000
Government goods and services  ($),8218000000,9156000000,8191000000,7653000000,9033000000,11985000000,15582000000,19222000000,20921000000,19084000000,20538000000,19210000000,21470000000,22148000000,21852000000,19693000000,20087000000,18777000000,19924000000,22131000000,22453000000,21642000000,23364000000
