date,APPL,AMZN,GOOG,META,MFST
2023-04-21,165.020004,106.959999,105.910004,212.889999,285.760010
2023-04-24,165.330002,106.209999,106.779999,212.789993,281.769989
2023-04-25,163.770004,102.570000,104.610001,207.550003,275.420013
2023-04-26,163.759995,104.980003,104.449997,209.399994,295.369995
2023-04-27,168.410004,109.820000,108.370003,238.559998,304.829987
2023-04-28,169.679993,105.449997,108.220001,240.320007,307.260010
2023-05-01,169.589996,102.050003,107.709999,243.179993,305.559998
2023-05-02,168.539993,103.629997,105.980003,239.240005,305.410004
2023-05-03,167.449997,103.650002,106.120003,237.029999,304.399994
2023-05-04,165.789993,104.000000,105.209999,233.520004,305.410004
2023-05-05,173.570007,105.660004,106.214996,232.779999,310.649994
2023-05-08,173.500000,105.830002,108.239998,233.270004,308.649994
2023-05-09,171.770004,106.620003,107.940002,233.369995,307.000000
2023-05-10,173.559998,110.190002,112.279999,233.080002,312.309998
2023-05-11,173.750000,112.180000,116.900002,235.789993,310.109985
2023-05-12,172.570007,110.260002,117.919998,233.809998,308.970001
2023-05-15,172.070007,111.199997,116.959999,238.860001,309.459991
2023-05-16,172.070007,113.400002,120.089996,238.820007,311.739990
2023-05-17,172.690002,115.500000,121.480003,242.490005,314.000000
2023-05-18,175.050003,118.150002,123.519997,246.850006,318.519989
2023-05-19,175.160004,116.250000,123.250000,245.639999,318.339996
2023-05-22,174.199997,115.010002,125.870003,248.320007,321.179993
2023-05-23,171.559998,114.989998,123.290001,246.740005,315.260010
2023-05-24,171.839996,116.750000,121.639999,249.210007,313.850006
2023-05-25,172.990005,115.000000,124.349998,252.690002,325.920013
2023-05-26,175.429993,120.110001,125.430000,262.040009,332.890015
2023-05-30,177.300003,121.660004,124.639999,262.519989,331.209991
2023-05-31,177.250000,120.580002,123.370003,264.720001,328.390015
2023-06-01,180.089996,122.769997,124.370003,272.609985,332.579987
2023-06-02,180.949997,124.250000,125.230003,272.609985,335.399994
2023-06-05,179.580002,125.300003,126.629997,271.390015,335.940002
2023-06-06,179.210007,126.610001,127.910004,271.119995,333.679993
2023-06-07,177.820007,121.230003,122.940002,263.600006,323.380005
2023-06-08,180.570007,124.250000,122.669998,264.579987,325.260010
2023-06-09,180.960007,123.430000,122.870003,264.950012,326.790009
2023-06-12,183.789993,126.570000,124.349998,271.049988,331.850006
2023-06-13,183.309998,126.660004,124.430000,271.320007,334.290009
2023-06-14,183.949997,126.419998,124.379997,273.350006,337.339996
2023-06-15,186.009995,127.110001,125.790001,281.829987,348.100006
2023-06-16,184.919998,125.489998,124.059998,281.000000,342.329987
2023-06-20,185.009995,125.779999,123.849998,284.329987,338.049988
2023-06-21,183.960007,124.830002,121.260002,281.640015,333.559998
2023-06-22,187.000000,130.149994,123.870003,284.880005,339.709991
2023-06-23,186.679993,129.330002,123.019997,288.730011,335.019989
2023-06-26,185.270004,127.330002,119.089996,278.470001,328.600006
2023-06-27,188.059998,129.179993,119.010002,287.049988,334.570007
2023-06-28,189.250000,129.039993,121.080002,285.290009,335.850006
2023-06-29,189.589996,127.900002,120.010002,281.529999,335.049988
2023-06-30,193.970001,130.360001,120.970001,286.980011,340.540009
2023-07-03,192.460007,130.220001,120.559998,286.019989,337.989990
2023-07-05,191.330002,130.380005,122.629997,294.369995,338.149994
2023-07-06,191.809998,128.360001,120.930000,291.989990,341.269989
2023-07-07,190.679993,129.779999,120.139999,290.529999,337.220001
2023-07-10,188.610001,127.129997,116.870003,294.100006,331.829987
2023-07-11,188.080002,128.779999,117.709999,298.290009,332.470001
2023-07-12,189.770004,130.800003,119.620003,309.339996,337.200012
2023-07-13,190.539993,134.300003,124.830002,313.410004,342.660004
2023-07-14,190.690002,134.679993,125.699997,308.869995,345.239990
2023-07-17,193.990005,133.559998,125.059998,310.619995,345.730011
2023-07-18,193.729996,132.830002,124.080002,312.049988,359.489990
2023-07-19,195.100006,135.360001,122.779999,316.010010,355.079987
2023-07-20,193.130005,129.960007,119.529999,302.519989,346.869995
2023-07-21,191.940002,130.000000,120.309998,294.260010,343.769989
2023-07-24,192.750000,128.800003,121.879997,291.609985,345.109985
2023-07-25,193.619995,129.130005,122.790001,294.470001,350.980011
2023-07-26,194.500000,128.149994,129.660004,298.570007,337.769989
2023-07-27,193.220001,128.250000,129.869995,311.709991,330.720001
2023-07-28,195.830002,132.210007,133.009995,325.480011,338.369995
2023-07-31,196.449997,133.679993,133.110001,318.600006,335.920013
2023-08-01,195.610001,131.690002,131.889999,322.709991,336.339996
2023-08-02,192.580002,128.210007,128.639999,314.309998,327.500000
2023-08-03,191.169998,128.910004,128.770004,313.190002,326.660004
2023-08-04,181.990005,139.570007,128.539993,310.730011,327.779999
2023-08-07,178.850006,142.220001,131.940002,316.559998,330.109985
2023-08-08,179.800003,139.940002,131.839996,312.640015,326.049988
2023-08-09,178.190002,137.850006,130.149994,305.209991,322.230011
2023-08-10,177.970001,138.559998,130.210007,305.739990,322.929993
2023-08-11,177.789993,138.410004,130.169998,301.640015,321.010010
2023-08-14,179.460007,140.570007,131.830002,306.190002,324.040009
2023-08-15,177.449997,137.669998,130.270004,301.950012,321.859985
2023-08-16,176.570007,135.070007,129.110001,294.290009,320.399994
2023-08-17,174.000000,133.979996,130.460007,285.089996,316.880005
2023-08-18,174.490005,133.220001,128.110001,283.250000,316.480011
2023-08-21,175.839996,134.679993,128.929993,289.899994,321.880005
2023-08-22,177.229996,134.250000,129.690002,287.600006,322.459991
2023-08-23,181.119995,135.520004,133.210007,294.239990,327.000000
2023-08-24,176.380005,131.839996,130.419998,286.750000,319.970001
2023-08-25,178.610001,133.259995,130.690002,285.500000,322.980011
2023-08-28,180.190002,133.139999,131.789993,290.260010,323.700012
2023-08-29,184.119995,134.910004,135.490005,297.989990,328.410004
2023-08-30,187.649994,135.070007,136.929993,295.100006,328.790009
2023-08-31,187.869995,138.009995,137.350006,295.890015,327.760010
2023-09-01,189.460007,138.119995,136.800003,296.380005,328.660004
2023-09-05,189.699997,137.270004,136.710007,300.149994,333.549988
2023-09-06,182.910004,135.360001,135.369995,299.170013,332.880005
2023-09-07,177.559998,137.850006,136.199997,298.670013,329.910004
2023-09-08,178.179993,138.229996,137.199997,297.890015,334.269989
2023-09-11,179.360001,143.100006,137.740005,307.559998,337.940002
2023-09-12,176.300003,141.229996,136.070007,301.660004,331.769989
2023-09-13,174.210007,144.850006,137.500000,305.059998,336.059998
2023-09-14,175.740005,144.720001,138.990005,311.720001,338.700012
2023-09-15,175.009995,140.389999,138.300003,300.309998,330.220001
2023-09-18,177.970001,139.979996,138.960007,302.549988,329.059998
2023-09-19,179.070007,137.630005,138.830002,305.070007,328.649994
