"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Exports ($)","30555000000","31403000000","33340000000","35776000000","40164000000","42722000000","46454000000","49354000000","54912000000","60133000000","68388000000","72383000000","81987000000","113051000000","148484000000","157936000000","172090000000","184657000000","220515000000","287967000000","344440000000","380928000000","371757000000","362137000000","406733000000","394117000000","412832000000","462472000000","572816000000","653387000000","712128000000","733670000000","755964000000","784469000000","872701000000","1008048000000","1081132000000","1195810000000","1199418000000","1313448000000","1486120000000","1368140000000","1345506000000","1437148000000","1661104000000","1893153000000","2204218000000","2547935000000","2754377000000","2331170000000","2687457000000","3036675000000","3151197000000","3250471000000","3379128000000","3238009000000","3237288000000","3548345000000","3793642000000","3812458000000","3258642000000","3793730000000"
"    By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Exports of goods and services ($)","25939000000","26403000000","27722000000","29620000000","33340000000","35285000000","38926000000","41333000000","45544000000","49220000000","56640000000","59677000000","67223000000","91242000000","120897000000","132585000000","142716000000","152302000000","178428000000","224132000000","271835000000","294399000000","275235000000","266106000000","291094000000","289071000000","310034000000","348869000000","431150000000","487003000000","535234000000","578343000000","616882000000","642863000000","703254000000","794387000000","851602000000","934453000000","933174000000","976525000000","1082963000000","1015366000000","986095000000","1028186000000","1168120000000","1291503000000","1463991000000","1660815000000","1849586000000","1592792000000","1872320000000","2143552000000","2247453000000","2313121000000","2392615000000","2280041000000","2238337000000","2390778000000","2538638000000","2528367000000","2134441000000","2532955000000"
"            By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Exports of goods ($)","19650000000","20108000000","20781000000","22272000000","25501000000","26461000000","29310000000","30666000000","33626000000","36414000000","42469000000","43319000000","49381000000","71410000000","98306000000","107088000000","114745000000","120816000000","142075000000","184439000000","224250000000","237044000000","211157000000","201799000000","219926000000","215915000000","223344000000","250208000000","320230000000","359916000000","387401000000","414083000000","439631000000","456943000000","502859000000","575204000000","612113000000","678366000000","670416000000","698524000000","784940000000","731331000000","698036000000","730446000000","823584000000","913016000000","1040905000000","1165151000000","1308795000000","1070331000000","1290279000000","1498887000000","1562630000000","1593708000000","1635563000000","1511381000000","1457393000000","1557003000000","1676913000000","1652072000000","1428798000000","1761709000000"
"                    By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        General merchandise ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"692924000000","778718000000","726283000000","694069000000","725018000000","817516000000","906104000000","1030589000000","1150198000000","1288516000000","1055433000000","1271972000000","1463637000000","1524790000000","1559363000000","1612611000000","1489795000000","1436552000000","1535249000000","1654629000000","1632230000000","1403785000000","1729328000000"
"                        Foods, feeds, and beverages ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45977000000","47871000000","49407000000","49616000000","55026000000","56570000000","58955000000","65962000000","84264000000","108349000000","93908000000","107719000000","126247000000","133049000000","136163000000","143721000000","127721000000","130515000000","132761000000","133144000000","130993000000","139335000000","165216000000"
"                        Industrial supplies and materials ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145724000000","171108000000","159469000000","157282000000","173272000000","206274000000","236812000000","279120000000","316284000000","386917000000","293540000000","388561000000","485258000000","483232000000","492422000000","500677000000","418141000000","387600000000","459380000000","536866000000","526410000000","450372000000","615497000000"
"                        Capital goods except automotive ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"311249000000","357000000000","321724000000","290437000000","293673000000","327540000000","358426000000","404026000000","433019000000","457655000000","391498000000","447839000000","494202000000","527459000000","534757000000","551758000000","539805000000","520001000000","533696000000","563438000000","547954000000","460493000000","519783000000"
"                        Automotive vehicles, parts, and engines ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75256000000","80356000000","75435000000","78942000000","80633000000","89213000000","98406000000","107263000000","121264000000","121451000000","81715000000","112008000000","133036000000","146158000000","152661000000","159812000000","151894000000","150398000000","157867000000","158833000000","162752000000","127918000000","143603000000"
"                        Consumer goods except food and automotive ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80867000000","89305000000","88285000000","84323000000","89877000000","103195000000","115228000000","129034000000","145863000000","161157000000","149287000000","164909000000","174719000000","180994000000","188093000000","198398000000","197318000000","193258000000","197190000000","205513000000","204976000000","173974000000","221557000000"
"                        Other general merchandise ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33850000000","33078000000","31963000000","33468000000","32536000000","34723000000","38276000000","45184000000","49505000000","52987000000","45486000000","50938000000","50176000000","53898000000","55268000000","58246000000","54917000000","54781000000","54357000000","56835000000","59146000000","51693000000","63671000000"
"                        Net exports of goods under merchanting ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"306000000","159000000","142000000","597000000","629000000","1598000000","1330000000","1499000000","1547000000","1465000000","797000000","411000000","511000000","552000000","461000000","299000000","261000000","300000000","210000000","338000000","491000000","984000000","986000000"
"                        Nonmonetary gold ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5294000000","6063000000","4906000000","3370000000","4799000000","4470000000","5582000000","8817000000","13406000000","18813000000","14101000000","17896000000","34739000000","37289000000","33883000000","22654000000","21325000000","20542000000","21544000000","21947000000","19351000000","24030000000","31395000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166856000000","179053000000","163397000000","160887000000","169992000000","190042000000","212340000000","231346000000","249819000000","262282000000","205457000000","250283000000","282678000000","294156000000","302118000000","313872000000","281562000000","267235000000","283700000000","300652000000","293658000000","256106000000","308223000000"
