 "Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Imports ($)","27732000000","27581000000","29953000000","31365000000","33342000000","37293000000","43425000000","46770000000","54299000000","59734000000","66055000000","73818000000","87780000000","106000000000","147000000000","140000000000","168000000000","199000000000","236000000000","288000000000","342124000000","375898000000","377296000000","400828000000","501074000000","512274000000","560007000000","623127000000","693969000000","752874000000","791097000000","730773000000","807574000000","869272000000","994314000000","1121620000000","1205900000000","1336540000000","1414480000000","1600061000000","1888038000000","1762222000000","1801615000000","1959436000000","2296994000000","2642385000000","3020864000000","3284485000000","3450900000000","2710899000000","3119466000000","3491977000000","3569312000000","3589927000000","3749116000000","3646898000000","3634858000000","3910050000000","4231878000000","4284604000000","3874737000000","4615364000000"
"    By type ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Imports of goods and services  ($)","22433000000","22208000000","24352000000","25411000000","27319000000","30621000000","35987000000","38729000000","45292000000","49130000000","54385000000","60980000000","72664000000","89342000000","125000000000","120000000000","149000000000","180000000000","208000000000","249000000000","291242000000","310570000000","299392000000","323874000000","400166000000","410951000000","448572000000","500553000000","545714000000","580145000000","616098000000","609479000000","656094000000","713174000000","801747000000","890771000000","955667000000","1042730000000","1099310000000","1232335000000","1452650000000","1375739000000","1406762000000","1524429000000","1778958000000","2008045000000","2227523000000","2371811000000","2561936000000","1987563000000","2375407000000","2698074000000","2773359000000","2759982000000","2876566000000","2771462000000","2719812000000","2903517000000","3119588000000","3104708000000","2811125000000","3394339000000"
"            By type ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Imports of goods ($)","14758000000","14537000000","16260000000","17048000000","18700000000","21510000000","25493000000","26866000000","32991000000","35807000000","39866000000","45579000000","55797000000","70499000000","104000000000","98185000000","124000000000","152000000000","176000000000","212000000000","249750000000","265067000000","247642000000","268901000000","332418000000","338088000000","368425000000","409765000000","447189000000","477665000000","498438000000","491020000000","536528000000","589394000000","668690000000","749374000000","803113000000","876794000000","918637000000","1035592000000","1231722000000","1153701000000","1173281000000","1272089000000","1488349000000","1695820000000","1878194000000","1986347000000","2141287000000","1580025000000","1938950000000","2239886000000","2303749000000","2294247000000","2385480000000","2273249000000","2207195000000","2356345000000","2555662000000","2513587000000","2350825000000","2853093000000"
"                    By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        General merchandise ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1029538000000","1225780000000","1149319000000","1170318000000","1268332000000","1484126000000","1691201000000","1872316000000","1977283000000","2127790000000","1569630000000","1924446000000","2221911000000","2284535000000","2276499000000","2370016000000","2260659000000","2189041000000","2343660000000","2544465000000","2501636000000","2289160000000","2827346000000"
"                        Foods, feeds, and beverages ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44081000000","46489000000","47218000000","50318000000","56521000000","62999000000","69072000000","76081000000","82974000000","90439000000","82861000000","92492000000","108257000000","111127000000","116003000000","126805000000","128762000000","131010000000","138825000000","148257000000","151559000000","155449000000","183301000000"
"                        Industrial supplies and materials ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224140000000","303768000000","279193000000","272761000000","320045000000","420399000000","533686000000","613242000000","648412000000","798796000000","469641000000","610268000000","765553000000","734803000000","686673000000","675567000000","492483000000","441793000000","508645000000","580206000000","525562000000","430058000000","640761000000"
"                        Capital goods except automotive ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"296095000000","347706000000","299150000000","284923000000","297643000000","346116000000","382833000000","422611000000","449117000000","458698000000","374054000000","450406000000","513430000000","551777000000","558971000000","598759000000","607160000000","593614000000","642864000000","694229000000","679126000000","648503000000","766303000000"
"                        Automotive vehicles, parts, and engines ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178242000000","194954000000","188746000000","202777000000","209172000000","227332000000","238715000000","255962000000","258497000000","233204000000","159188000000","225641000000","255226000000","298498000000","309573000000","329498000000","350049000000","350847000000","359118000000","372009000000","376016000000","311305000000","348223000000"
"                        Consumer goods except food and automotive ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243650000000","284634000000","287054000000","311331000000","338383000000","378112000000","412734000000","447647000000","479758000000","485679000000","429853000000","485121000000","515868000000","518821000000","532876000000","558700000000","596417000000","584900000000","603470000000","647659000000","655517000000","641055000000","767563000000"
"                        Other general merchandise ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43331000000","48229000000","47958000000","48209000000","46567000000","49169000000","54161000000","56773000000","58524000000","60974000000","54034000000","60519000000","63578000000","69508000000","72402000000","80688000000","85789000000","86876000000","90739000000","102104000000","113855000000","102790000000","121194000000"
"                        Nonmonetary gold ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6054000000","5942000000","4381000000","2963000000","3757000000","4223000000","4618000000","5878000000","9064000000","13497000000","10395000000","14504000000","17975000000","19214000000","17748000000","15464000000","12590000000","18154000000","12685000000","11197000000","11952000000","61665000000","25747000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201257000000","233511000000","218591000000","211765000000","224507000000","259712000000","294216000000","306214000000","320027000000","342190000000","227959000000","281822000000","321163000000","329893000000","338332000000","355871000000","302806000000","283538000000","305116000000","324596000000","324714000000","275883000000","364534000000"
"                        Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229166000000","261952000000","258175000000","263444000000","288069000000","324670000000","359705000000","388066000000","415973000000","448676000000","335283000000","387488000000","455876000000","461996000000","466160000000","499070000000","496009000000","485964000000","509031000000","574725000000","606966000000","578881000000","672502000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9326000000","10068000000","10292000000","9983000000","10352000000","12709000000","13267000000","14605000000","15474000000","17591000000","13992000000","15775000000","17819000000","17701000000","19316000000","21236000000","19663000000","17167000000","15014000000","17261000000","20217000000","20856000000","21037000000"
"                                France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25868000000","29987000000","30614000000","28532000000","29476000000","31927000000","34312000000","37531000000","41965000000","44658000000","34509000000","38817000000","40769000000","42394000000","46615000000","48003000000","48415000000","47043000000","49230000000","52884000000","57922000000","43709000000","50741000000"
"                                Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55690000000","59033000000","59578000000","62868000000","68713000000","78010000000","85733000000","89980000000","95201000000","98938000000","72316000000","83505000000","99997000000","110342000000","115343000000","125098000000","125462000000","114566000000","117891000000","126208000000","128008000000","115373000000","135876000000"
"                                Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22442000000","25064000000","23821000000","24258000000","25526000000","28274000000","31293000000","32894000000","35297000000","36593000000","26740000000","28797000000","34369000000","37324000000","39111000000","42752000000","44475000000","45471000000","50076000000","54929000000","57491000000","49461000000","61068000000"
"                                Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317000000","335000000","315000000","311000000","271000000","296000000","390000000","532000000","537000000","539000000","475000000","447000000","480000000","590000000","640000000","742000000","610000000","507000000","523000000","597000000","674000000","513000000","587000000"
"                                Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8630000000","9824000000","9667000000","9975000000","11760000000","12713000000","15230000000","17575000000","18608000000","21547000000","16243000000","19446000000","24167000000","22968000000","19925000000","21445000000","17197000000","16352000000","18094000000","24826000000","29975000000","27497000000","35429000000"
"                                UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39678000000","44162000000","41957000000","41273000000","43345000000","46761000000","51826000000","54518000000","57836000000","60251000000","48679000000","51553000000","52861000000","56334000000","53773000000","55758000000","58656000000","54940000000","53900000000","61404000000","63892000000","50411000000","56781000000"
"                                Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1884000000","2476000000","2059000000","1841000000","98626000000","113978000000","127654000000","140431000000","151055000000","168559000000","122329000000","149148000000","185415000000","174343000000","171437000000","184036000000","181531000000","189920000000","204302000000","236616000000","248788000000","271060000000","310982000000"
"                                European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196873000000","222100000000","222023000000","227680000000","247919000000","281548000000","312965000000","334134000000","360471000000","374204000000","285491000000","324260000000","375346000000","387405000000","392520000000","425516000000","431046000000","419041000000","437323000000","489842000000","517795000000","417121000000","493231000000"
"                                Euro Area  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145612000000","164700000000","167761000000","173925000000","189707000000","211912000000","232126000000","249180000000","271428000000","282319000000","214906000000","245328000000","290117000000","298602000000","306073000000","332465000000","335465000000","327623000000","344880000000","386393000000","407645000000","370061000000","437908000000"
"                        Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169326000000","210801000000","200524000000","206226000000","219297000000","257944000000","297389000000","336835000000","351035000000","381918000000","288489000000","365657000000","442916000000","455995000000","446076000000","454111000000","419113000000","406828000000","433550000000","472260000000","472578000000","421479000000","512747000000"
"                            By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South and Central America  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161184000000","200245000000","190907000000","196927000000","207299000000","243507000000","278873000000","317926000000","331918000000","362311000000","275915000000","352062000000","423142000000","439165000000","432224000000","440686000000","407285000000","396788000000","422949000000","460595000000","460852000000","411809000000","499393000000"
"                                    By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                        Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2602000000","3104000000","3031000000","3210000000","3191000000","3772000000","4630000000","4028000000","4536000000","5893000000","3931000000","3865000000","4582000000","4422000000","4714000000","4313000000","3994000000","4691000000","4878000000","4952000000","5052000000","4226000000","5157000000"
"                                        Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11331000000","13854000000","14499000000","15826000000","17989000000","21250000000","24572000000","26549000000","25831000000","30722000000","20208000000","24200000000","31539000000","31821000000","27130000000","29586000000","26470000000","24609000000","27942000000","30170000000","30907000000","23181000000","31270000000"
"                                        Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110639000000","137058000000","132709000000","136327000000","140005000000","158599000000","173771000000","202122000000","215122000000","220506000000","179638000000","232804000000","267364000000","283155000000","286732000000","303059000000","303369000000","299852000000","318278000000","350048000000","362607000000","330191000000","390742000000"
"                                        Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11346000000","18637000000","15264000000","15107000000","17153000000","24946000000","34006000000","37206000000","39997000000","51531000000","28149000000","32825000000","43390000000","38854000000","32123000000","30340000000","15658000000","10980000000","12401000000","13259000000","1982000000","204000000","340000000"
"                                        Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2638000000","3178000000","2863000000","2908000000","28961000000","34941000000","41895000000","48020000000","46432000000","53660000000","43989000000","58368000000","76267000000","80912000000","81525000000","73387000000","57795000000","56656000000","59451000000","62165000000","60303000000","54007000000","71885000000"
